zinc_id,smiles
ZINC000011680641,CCCCCNC(=O)c1coc([C@@H]2[C@@H]3CC[C@@H](O3)[C@@H]2Cc2ccccc2CCC(=O)O)n1
ZINC000095625018,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
ZINC000071296266,C=C1[C@H]2CC[C@@]3(C=CC(=O)[C@@](C)(CCC(=O)Nc4c(O)ccc(C(=O)OC)c4O)[C@@H]3C2)[C@H]1O
ZINC000095621407,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC
ZINC000014680924,Cc1c(Cl)c(O)cc(O)c1C(=O)O[C@H]1C[C@]2(C)[C@@H]3[C@@H](O)C(C)(C)C[C@@]3(O)C=C(C=O)[C@@]12O
ZINC000040864479,COC1=C[C@H]2C=Cc3c(CCN(C)C)cc4c(c3[C@@H]2C=C1OC)OCO4
ZINC000004538773,O=C(CCCCCCCC(=O)NCCO)NCCO
ZINC000150360477,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC
ZINC000058581654,CCCCCCOC(=O)CCc1ccc(O)c(O)c1
ZINC000230098565,CC(=O)O[C@H]1[C@@H](O)[C@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)O[C@H](C)[C@H]1O
ZINC000150377057,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCCC)OC(=O)CCCCCCCCCCCCCC
ZINC000004096208,O=C(O)C[C@@H](Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O
ZINC000040892302,CC(C)=CCc1c(O)cc2c(c1/C=C/c1ccccc1)C[C@@H](O)C(C)(C)O2
ZINC000004097976,CC(C)=CC(=O)O[C@H]1Cc2cc3ccc(=O)oc3cc2OC1(C)C
ZINC000095623038,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
ZINC000150358902,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCCCCCC
ZINC000001586750,CCCCOC(=O)CCC
ZINC000095573937,COc1cc2c(cc1OC)[C@H]1CN3C(=O)CC[C@H]3[C@H](O)[C@H]1c1cc(OC)c(OC)cc1-2
ZINC000169360779,COc1ccc(C[C@H]2NC(=O)/C=C\C[C@@H]([C@H](C)[C@H]3O[C@@H]3c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)C(C)(C)CNC2=O)cc1Cl
ZINC000150377693,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COC(=O)CCCCCCC/C=C\C/C=C\CCCCCC
ZINC000150369401,Oc1ccc([C@@H]2Oc3ccc(/C=C\c4cc(O)cc5c4[C@@H](c4cc(O)cc(O)c4)[C@H](c4ccc(O)cc4)O5)cc3[C@@H]2c2cc(O)cc3c2[C@H](c2cc(O)cc(O)c2)[C@H](c2ccc(O)cc2)O3)cc1
ZINC000000000478,CC[C@@H](c1ccc2cc(OC)ccc2c1)C(C)(C)C(=O)O
ZINC000002039680,CCCC[C@H](CC)COP(=O)(Oc1ccccc1)Oc1ccccc1
ZINC000014728343,COc1cc(O[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)c2c(c1)O[C@@H](c1ccc(OC)c(O)c1)CC2=O
ZINC000000057020,CC(C)(C)c1cc(CO)cc(C(C)(C)C)c1O
